content,style,output,status,method,alpha,runtime_seconds,content_vgg_mse,style_gram_mse,style_stats_mse
horses.png,The_Scream_Munch.png,outputs/transformer/horses__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.694098545000088,11.173385620117188,8.036822691792622e-05,0.8030378222465515
horses.png,Water_Lilies_Monet.png,outputs/transformer/horses__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7311621950011613,10.9880952835083,6.542733171954751e-05,0.6595137119293213
hummingbird.png,Composition_VIII_Kandinsky.png,outputs/transformer/hummingbird__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.725255098001071,12.197848320007324,0.0001533122267574072,2.2609434127807617
hummingbird.png,Guernica_Picasso.png,outputs/transformer/hummingbird__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.6668290059988067,12.775015830993652,2.4602384655736387e-05,0.7788925170898438
hummingbird.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/hummingbird__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.7705015179999464,13.523297309875488,0.00012570220860652626,1.2862895727157593
hummingbird.png,The_Scream_Munch.png,outputs/transformer/hummingbird__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.8070571949992882,13.098752975463867,2.6539486498222686e-05,0.5288078188896179
hummingbird.png,Water_Lilies_Monet.png,outputs/transformer/hummingbird__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7097622649998812,12.839168548583984,1.664798764977604e-05,0.40256166458129883
lake.png,Composition_VIII_Kandinsky.png,outputs/transformer/lake__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7808839860008447,3.868703603744507,0.00016330166545230895,2.7348389625549316
lake.png,Guernica_Picasso.png,outputs/transformer/lake__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,1.3241590199995699,4.179548263549805,1.9177297872374766e-05,0.8648396730422974
lake.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/lake__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6924420399991504,5.103443145751953,0.00013554473116528243,1.4478639364242554
lake.png,The_Scream_Munch.png,outputs/transformer/lake__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.6876292239994655,4.219010353088379,1.5703471945016645e-05,0.5571535229682922
lake.png,Water_Lilies_Monet.png,outputs/transformer/lake__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.6704459599986876,4.133290767669678,7.664943950658198e-06,0.22481480240821838
motorcycle.png,Composition_VIII_Kandinsky.png,outputs/transformer/motorcycle__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.6950639959995897,12.676129341125488,0.00014369170821737498,2.0307939052581787
motorcycle.png,Guernica_Picasso.png,outputs/transformer/motorcycle__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.7092888429997402,13.466167449951172,4.531773811322637e-05,0.8879084587097168
motorcycle.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/motorcycle__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.7135760029996163,14.07422924041748,0.00010223025310551748,1.0211983919143677
motorcycle.png,The_Scream_Munch.png,outputs/transformer/motorcycle__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.9221481980002864,13.901825904846191,4.8414261982543394e-05,0.5988485217094421
motorcycle.png,Water_Lilies_Monet.png,outputs/transformer/motorcycle__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7576650870014419,13.625802993774414,4.097335477126762e-05,0.6762407422065735
mountains.png,Composition_VIII_Kandinsky.png,outputs/transformer/mountains__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7021157469989703,5.6691179275512695,0.000149204206536524,2.4823250770568848
mountains.png,Guernica_Picasso.png,outputs/transformer/mountains__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.6899461020002491,6.216434001922607,9.378536196891218e-05,1.3546968698501587
mountains.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/mountains__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6711369450003986,6.494280815124512,0.00010980236402247101,1.2695173025131226
mountains.png,The_Scream_Munch.png,outputs/transformer/mountains__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.8514549550000083,6.418161392211914,0.00010085990652441978,1.0189167261123657
mountains.png,Water_Lilies_Monet.png,outputs/transformer/mountains__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7380287079995469,6.214043617248535,8.804065873846412e-05,0.7810884118080139
sport_car.png,Composition_VIII_Kandinsky.png,outputs/transformer/sport_car__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.6414078550005797,9.218011856079102,0.00014781279605813324,2.2471206188201904
sport_car.png,Guernica_Picasso.png,outputs/transformer/sport_car__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.6297487629999523,9.851946830749512,4.829918543691747e-05,0.9516197443008423
sport_car.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/sport_car__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6655545819994586,10.387506484985352,9.88951651379466e-05,1.0977944135665894
sport_car.png,The_Scream_Munch.png,outputs/transformer/sport_car__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,1.0532755610001914,10.130851745605469,5.1657170843100175e-05,0.6544723510742188
sport_car.png,Water_Lilies_Monet.png,outputs/transformer/sport_car__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7455610009983502,9.912914276123047,4.395825817482546e-05,0.5571330189704895
street_photography.png,Composition_VIII_Kandinsky.png,outputs/transformer/street_photography__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7991299320001417,11.508914947509766,0.00014825222024228424,2.2119040489196777
street_photography.png,Guernica_Picasso.png,outputs/transformer/street_photography__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.7969864099995903,12.134231567382812,5.119711931911297e-05,0.968216061592102
street_photography.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/street_photography__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.710452224000619,12.900147438049316,0.00010010445112129673,1.051525354385376
street_photography.png,The_Scream_Munch.png,outputs/transformer/street_photography__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.6900095389992202,12.397552490234375,5.027770748711191e-05,0.6707440614700317
street_photography.png,Water_Lilies_Monet.png,outputs/transformer/street_photography__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7007414510007948,12.29173469543457,4.621197149390355e-05,0.7280434370040894
sunset.png,Composition_VIII_Kandinsky.png,outputs/transformer/sunset__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.682099231000393,4.45587158203125,0.00015922912280075252,2.664486885070801
sunset.png,Guernica_Picasso.png,outputs/transformer/sunset__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.6594544870004029,4.876543998718262,3.262051541241817e-05,0.9835979342460632
sunset.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/sunset__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.7287388810000266,5.47512149810791,0.00012121616600779817,1.456739902496338
sunset.png,The_Scream_Munch.png,outputs/transformer/sunset__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.7532222469999397,5.385736465454102,3.0705206881975755e-05,0.6281562447547913
sunset.png,Water_Lilies_Monet.png,outputs/transformer/sunset__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7073498789995938,4.961830139160156,1.8861859643948264e-05,0.3453885316848755
